#: table_doi: 10.17182/hepdata.159952.v1/t10
#: name: Figure 6
#: description: Centrality dependence of $\gamma^{112}_{\rm OS}$ (red circles) and $\gamma^{112}_{\rm SS}$ (blue squares) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV.The solid error bars and the shaded boxes represent the statistical and systematic uncertainties, respectively. 
#: data_file: Figure6.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
35.0,30.0,40.0,6.9e-05,1.1e-05,-1.1e-05,3e-06,-3e-06
25.0,20.0,30.0,5.5e-05,7e-06,-7e-06,5e-06,-5e-06
15.0,10.0,20.0,2.6e-05,7e-06,-7e-06,3e-06,-3e-06
7.5,5.0,10.0,1.6e-05,1.4e-05,-1.4e-05,9e-06,-9e-06
2.5,0.0,5.0,-6e-06,3.9e-05,-3.9e-05,1.3e-05,-1.3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0009,0.0004,-0.0004,0.0002,-0.0002
65.0,60.0,70.0,-0.00054,0.0001,-0.0001,6e-05,-6e-05
55.0,50.0,60.0,-0.000355,3.2e-05,-3.2e-05,1.4e-05,-1.4e-05
45.0,40.0,50.0,-0.000259,1.4e-05,-1.4e-05,7e-06,-7e-06
35.0,30.0,40.0,-0.000172,7e-06,-7e-06,5e-06,-5e-06
25.0,20.0,30.0,-0.000122,5e-06,-5e-06,5e-06,-5e-06
15.0,10.0,20.0,-7.4e-05,4e-06,-4e-06,3e-06,-3e-06
7.5,5.0,10.0,-3.3e-05,1e-05,-1e-05,3e-06,-3e-06
2.5,0.0,5.0,-1.1e-05,2.7e-05,-2.7e-05,1.2e-05,-1.2e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.00032,0.00038,-0.00038,9e-05,-9e-05
65.0,60.0,70.0,-9.9e-05,0.000101,-0.000101,1.1e-05,-1.1e-05
55.0,50.0,60.0,0.000117,3.2e-05,-3.2e-05,5e-06,-5e-06
45.0,40.0,50.0,9.8e-05,1.4e-05,-1.4e-05,4e-06,-4e-06
35.0,30.0,40.0,7.5e-05,7e-06,-7e-06,4e-06,-4e-06
25.0,20.0,30.0,4.52e-05,4.8e-06,-4.8e-06,1.4e-06,-1.4e-06
15.0,10.0,20.0,2.2e-05,4e-06,-4e-06,3e-06,-3e-06
7.5,5.0,10.0,7e-06,1e-05,-1e-05,9e-06,-9e-06
2.5,0.0,5.0,3.4e-05,2.7e-05,-2.7e-05,3e-06,-3e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0008,0.0007,-0.0007,0.0007,-0.0007
65.0,60.0,70.0,-0.00079,0.00016,-0.00016,4e-05,-4e-05
55.0,50.0,60.0,-0.0004,5e-05,-5e-05,6e-05,-6e-05
45.0,40.0,50.0,-0.000298,2e-05,-2e-05,1.3e-05,-1.3e-05
35.0,30.0,40.0,-0.000193,1e-05,-1e-05,1e-05,-1e-05
25.0,20.0,30.0,-0.000118,7e-06,-7e-06,1.2e-05,-1.2e-05
15.0,10.0,20.0,-6.9e-05,6e-06,-6e-06,1.1e-05,-1.1e-05
7.5,5.0,10.0,-4.9e-05,1.4e-05,-1.4e-05,4e-06,-4e-06
2.5,0.0,5.0,-5.6e-05,3.5e-05,-3.5e-05,1.5e-05,-1.5e-05

#: Detector,,,STAR
