#: table_doi: 10.17182/hepdata.159952.v1/t14
#: name: Figure 10
#: description: Centrality dependence of  $N_{\rm part}\Delta\gamma^{132}$ (red square) and $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ (blue circle) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{132}(\kappa_{\rm{bg}}=1)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure10.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
15.0,10.0,20.0,0.00492,0.00185,-0.00185,0.00278,-0.00278,0.00019,-0.00019
7.5,5.0,10.0,0.00324,0.00516,-0.00516,0.00146,-0.00146,7e-05,-7e-05
2.5,0.0,5.0,0.0176,0.0164,-0.0164,0.00986,-0.00986,0.0001,-0.0001

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0035,0.0073,-0.0073,0.0012,-0.0012,0.0013,-0.0013
65.0,60.0,70.0,-0.0039,0.0036,-0.0036,0.0006,-0.0006,0.0011,-0.0011
55.0,50.0,60.0,-0.00097,0.00219,-0.00219,0.00037,-0.00037,0.00019,-0.00019
45.0,40.0,50.0,0.0059,0.0015,-0.0015,0.0008,-0.0008,0.0008,-0.0008
35.0,30.0,40.0,0.0086,0.0013,-0.0013,0.0003,-0.0003,0.0008,-0.0008
25.0,20.0,30.0,0.0108,0.0013,-0.0013,0.0014,-0.0014,0.0007,-0.0007
15.0,10.0,20.0,0.011,0.0018,-0.0018,0.0009,-0.0009,0.0004,-0.0004
7.5,5.0,10.0,0.0123,0.005,-0.005,0.0018,-0.0018,0.0003,-0.0003
2.5,0.0,5.0,-0.02105,0.01626,-0.01626,0.00051,-0.00051,0.00012,-0.00012

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.006,0.016,-0.016,0.015,-0.015,0.002,-0.002
65.0,60.0,70.0,-0.0072,0.0067,-0.0067,0.002,-0.002,0.002,-0.002
55.0,50.0,60.0,-0.0077,0.0038,-0.0038,0.0012,-0.0012,0.0015,-0.0015
45.0,40.0,50.0,0.0015,0.0026,-0.0026,0.001,-0.001,0.0002,-0.0002
35.0,30.0,40.0,-0.0034,0.0023,-0.0023,0.0017,-0.0017,0.0003,-0.0003
25.0,20.0,30.0,0.00154,0.00233,-0.00233,0.00077,-0.00077,0.0001,-0.0001
15.0,10.0,20.0,0.00411,0.00323,-0.00323,0.00204,-0.00204,0.00015,-0.00015
7.5,5.0,10.0,0.000908,0.008972,-0.008972,0.005657,-0.005657,1.9e-05,-1.9e-05
2.5,0.0,5.0,-0.02166,0.02889,-0.02889,0.01327,-0.01327,0.00013,-0.00013

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0034,0.0071,-0.0071,0.002,-0.002,0.0013,-0.0013
65.0,60.0,70.0,-0.0056,0.0035,-0.0035,0.0041,-0.0041,0.0015,-0.0015
55.0,50.0,60.0,-0.0054,0.0021,-0.0021,0.003,-0.003,0.0011,-0.0011
45.0,40.0,50.0,-0.0014,0.00146,-0.00146,0.00213,-0.00213,0.00019,-0.00019
35.0,30.0,40.0,-0.00088,0.00125,-0.00125,0.00155,-0.00155,9e-05,-9e-05
25.0,20.0,30.0,0.0005,0.00125,-0.00125,0.00134,-0.00134,3e-05,-3e-05
15.0,10.0,20.0,0.0017,0.00173,-0.00173,0.00107,-0.00107,6e-05,-6e-05
7.5,5.0,10.0,0.00516,0.00487,-0.00487,0.00297,-0.00297,0.00011,-0.00011
2.5,0.0,5.0,-0.0252,0.01602,-0.01602,0.00308,-0.00308,0.00015,-0.00015

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0014,0.0111,-0.0111,0.0046,-0.0046,0.0005,-0.0005
65.0,60.0,70.0,0.0076,0.0053,-0.0053,0.001,-0.001,0.0021,-0.0021
55.0,50.0,60.0,0.0034,0.003,-0.003,0.0005,-0.0005,0.0007,-0.0007
45.0,40.0,50.0,0.0079,0.0021,-0.0021,0.0007,-0.0007,0.0011,-0.0011
35.0,30.0,40.0,0.0095,0.0017,-0.0017,0.0012,-0.0012,0.0009,-0.0009
25.0,20.0,30.0,0.0117,0.0017,-0.0017,0.0008,-0.0008,0.0007,-0.0007
15.0,10.0,20.0,0.0097,0.0022,-0.0022,0.0014,-0.0014,0.0004,-0.0004
7.5,5.0,10.0,0.0149,0.0059,-0.0059,0.0016,-0.0016,0.0003,-0.0003
2.5,0.0,5.0,0.002968,0.018559,-0.018559,0.00132,-0.00132,1.7e-05,-1.7e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.031,0.025,-0.025,0.049,-0.049,0.011,-0.011
65.0,60.0,70.0,0.011,0.01,-0.01,0.005,-0.005,0.003,-0.003
55.0,50.0,60.0,-0.0057,0.0051,-0.0051,0.0003,-0.0003,0.0011,-0.0011
45.0,40.0,50.0,0.0036,0.0036,-0.0036,0.0019,-0.0019,0.0005,-0.0005
35.0,30.0,40.0,-0.0034,0.003,-0.003,0.0007,-0.0007,0.0003,-0.0003
25.0,20.0,30.0,-0.00095,0.00299,-0.00299,0.0011,-0.0011,6e-05,-6e-05
15.0,10.0,20.0,-0.00276,0.00394,-0.00394,0.00099,-0.00099,0.0001,-0.0001
7.5,5.0,10.0,0.0102,0.0104,-0.0104,0.0042,-0.0042,0.0002,-0.0002
2.5,0.0,5.0,-0.0458,0.0387,-0.0387,0.0488,-0.0488,0.0003,-0.0003

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0013,0.0108,-0.0108,0.0033,-0.0033,0.0005,-0.0005
65.0,60.0,70.0,0.0055,0.0051,-0.0051,0.0008,-0.0008,0.0015,-0.0015
55.0,50.0,60.0,-0.0012,0.0029,-0.0029,0.0031,-0.0031,0.0002,-0.0002
45.0,40.0,50.0,0.00044,0.00202,-0.00202,0.00157,-0.00157,6e-05,-6e-05
35.0,30.0,40.0,-2.3e-05,0.001657,-0.001657,0.001649,-0.001649,2e-06,-2e-06
25.0,20.0,30.0,0.00135,0.00161,-0.00161,0.00047,-0.00047,8e-05,-8e-05
15.0,10.0,20.0,0.000486,0.002129,-0.002129,0.001312,-0.001312,1.8e-05,-1.8e-05
7.5,5.0,10.0,0.0078,0.00577,-0.00577,0.00351,-0.00351,0.00016,-0.00016
2.5,0.0,5.0,-0.001268,0.018294,-0.018294,0.001301,-0.001301,7e-06,-7e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.002,0.0079,-0.0079,0.0052,-0.0052,0.0008,-0.0008
65.0,60.0,70.0,0.0043,0.00386,-0.00386,0.00018,-0.00018,0.00118,-0.00118
55.0,50.0,60.0,0.0013,0.0021,-0.0021,0.0002,-0.0002,0.0003,-0.0003
45.0,40.0,50.0,0.005,0.0014,-0.0014,0.0005,-0.0005,0.0007,-0.0007
35.0,30.0,40.0,0.0093,0.0011,-0.0011,0.0003,-0.0003,0.0009,-0.0009
25.0,20.0,30.0,0.0091,0.0011,-0.0011,0.0007,-0.0007,0.0006,-0.0006
15.0,10.0,20.0,0.0089,0.0014,-0.0014,0.0003,-0.0003,0.0003,-0.0003
7.5,5.0,10.0,0.00338,0.00395,-0.00395,0.00427,-0.00427,7e-05,-7e-05
2.5,0.0,5.0,-0.00946,0.01299,-0.01299,0.0006,-0.0006,6e-05,-6e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.01,0.015,-0.015,0.005,-0.005,0.004,-0.004
65.0,60.0,70.0,0.0017,0.0068,-0.0068,0.007,-0.007,0.0005,-0.0005
55.0,50.0,60.0,-0.0057,0.0035,-0.0035,0.0004,-0.0004,0.0011,-0.0011
45.0,40.0,50.0,-0.00048,0.00245,-0.00245,0.00143,-0.00143,7e-05,-7e-05
35.0,30.0,40.0,0.00143,0.00197,-0.00197,0.00022,-0.00022,0.00014,-0.00014
25.0,20.0,30.0,-0.00182,0.00196,-0.00196,0.00039,-0.00039,0.00011,-0.00011
15.0,10.0,20.0,-7.8e-05,0.002555,-0.002555,0.001717,-0.001717,3e-06,-3e-06
7.5,5.0,10.0,-0.00795,0.00706,-0.00706,0.0013,-0.0013,0.00016,-0.00016
2.5,0.0,5.0,-0.01962,0.02397,-0.02397,0.02099,-0.02099,0.00012,-0.00012

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.002,0.0077,-0.0077,0.0061,-0.0061,0.0008,-0.0008
65.0,60.0,70.0,0.0024,0.0037,-0.0037,0.0011,-0.0011,0.0007,-0.0007
55.0,50.0,60.0,-0.0031,0.002,-0.002,0.0036,-0.0036,0.0006,-0.0006
45.0,40.0,50.0,-0.0022,0.0014,-0.0014,0.0027,-0.0027,0.0003,-0.0003
35.0,30.0,40.0,-0.000113,0.001076,-0.001076,0.000967,-0.000967,1.1e-05,-1.1e-05
25.0,20.0,30.0,-0.00093,0.00105,-0.00105,0.00081,-0.00081,6e-05,-6e-05
