#: table_doi: 10.17182/hepdata.159952.v1/t11
#: name: Figure 7
#: description: Same as Fig.6, but for $\gamma^{132}_{\rm OS}$ and $\gamma^{132}_{\rm SS}$. For comparison, we also add $v_2\delta_{\rm OS}$ and $v_2\delta_{\rm SS}$ (shaded bands). 
#: data_file: Figure7.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
25.0,20.0,30.0,8e-06,5e-06,-5e-06,5e-06,-5e-06
15.0,10.0,20.0,3.5e-06,4.4e-06,-4.4e-06,1.5e-06,-1.5e-06
7.5,5.0,10.0,-6e-06,1e-05,-1e-05,7e-06,-7e-06
2.5,0.0,5.0,-2e-05,2.7e-05,-2.7e-05,4e-06,-4e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0007,0.0007,-0.0007,0.0003,-0.0003
65.0,60.0,70.0,-0.00016,0.00016,-0.00016,3e-05,-3e-05
55.0,50.0,60.0,-0.000121,5e-05,-5e-05,1.2e-05,-1.2e-05
45.0,40.0,50.0,-0.00014,2e-05,-2e-05,2e-05,-2e-05
35.0,30.0,40.0,-0.000123,1e-05,-1e-05,2e-05,-2e-05
25.0,20.0,30.0,-8.9e-05,7e-06,-7e-06,1.9e-05,-1.9e-05
15.0,10.0,20.0,-7.9e-05,6e-06,-6e-06,1.6e-05,-1.6e-05
7.5,5.0,10.0,-2.84e-05,1.38e-05,-1.38e-05,4e-07,-4e-07
2.5,0.0,5.0,5e-06,3.5e-05,-3.5e-05,8e-06,-8e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0001,0.0007,-0.0007,0.0002,-0.0002
65.0,60.0,70.0,-0.00025,0.00016,-0.00016,5e-05,-5e-05
55.0,50.0,60.0,-9e-05,5e-05,-5e-05,4e-05,-4e-05
45.0,40.0,50.0,-2.5e-05,2e-05,-2e-05,1.7e-05,-1.7e-05
35.0,30.0,40.0,-4.3e-05,1e-05,-1e-05,2e-05,-2e-05
25.0,20.0,30.0,-2.4e-05,7e-06,-7e-06,1e-05,-1e-05
15.0,10.0,20.0,-2.6e-05,6e-06,-6e-06,1.5e-05,-1.5e-05
7.5,5.0,10.0,-1.4e-05,1.4e-05,-1.4e-05,1.4e-05,-1.4e-05
2.5,0.0,5.0,1.6e-05,3.5e-05,-3.5e-05,7e-06,-7e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.00012,0.00015,-0.00015,3e-05,-3e-05
65.0,60.0,70.0,4.1e-05,4.5e-05,-4.5e-05,1.1e-05,-1.1e-05
55.0,50.0,60.0,5e-06,1.8e-05,-1.8e-05,6e-06,-6e-06
45.0,40.0,50.0,-3.5e-06,9.4e-06,-9.4e-06,1.2e-06,-1.2e-06
35.0,30.0,40.0,-4.1e-05,6e-06,-6e-06,8e-06,-8e-06
25.0,20.0,30.0,-3.6e-05,4e-06,-4e-06,2e-06,-2e-06
15.0,10.0,20.0,-2.9e-05,4e-06,-4e-06,4e-06,-4e-06
7.5,5.0,10.0,-2.1e-05,9e-06,-9e-06,2e-06,-2e-06
2.5,0.0,5.0,-5.4e-05,2e-05,-2e-05,6e-06,-6e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.00021,0.00015,-0.00015,3e-05,-3e-05
65.0,60.0,70.0,5.8e-05,4.5e-05,-4.5e-05,1.5e-05,-1.5e-05
55.0,50.0,60.0,0.000111,1.8e-05,-1.8e-05,6e-06,-6e-06
45.0,40.0,50.0,9.07e-05,9.4e-06,-9.4e-06,7e-07,-7e-07
35.0,30.0,40.0,5.49e-05,5.8e-06,-5.8e-06,1.2e-06,-1.2e-06
25.0,20.0,30.0,2.9e-05,4e-06,-4e-06,7e-06,-7e-06
15.0,10.0,20.0,1.78e-05,4.3e-06,-4.3e-06,8e-07,-8e-07
7.5,5.0,10.0,-1e-05,9e-06,-9e-06,0,0
2.5,0.0,5.0,4e-06,2e-05,-2e-05,4e-06,-4e-06

